,source,created_at,text,author_id,id,geo.place_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,geo.coordinates.type,geo.coordinates.coordinates,country,full_name,Timeline
203,Twitter for iPhone,2021-02-13T14:59:24.000Z,Cheers to our #SycamoreStrong staff getting the first round of COVID-19 vaccines this weekend and next! #BraveAves #SycamoreProud #InThisTogether https://t.co/Jy7gGggf6G,2855029565,1360604493809909765,de599025180e2ee7,0,0,15,0,,,United States,"Ohio, USA",During_Feb
204,Twitter for iPhone,2021-02-15T23:31:03.000Z,@Jim_Jordan For one your favorite idiot President Trump didn’t order enough COVID-19 Vaccines. Two when President Biden came Into to office the Trump administration was found to have 20 Million vaccine doses missing from the National stockpile. School employees and students need vaccines.,719742042616827904,1361458027694612481,de599025180e2ee7,0,0,0,0,,,United States,"Ohio, USA",During_Feb
205,Twitter for iPhone,2021-02-21T17:53:03.000Z,"This won’t fly. In Ohio, we’ve vaccinated the elderly, and now we’ve vaccinated the sick. Cases are plummeting. Hospitals are fine. It’s time to start laying out when &amp; how we get back to normal. County fairs, graduations, outdoor festivals, and yes, rescinding mask mandates. https://t.co/7FHhrmMMR2",248500795,1363547297641082882,de599025180e2ee7,17,13,142,3,,,United States,"Ohio, USA",During_Feb
206,Twitter for iPhone,2021-02-27T12:21:00.000Z,I’ve been asked what type of Covid-19 vaccine $DYAI is developing with the Israeli’s and EU ZAPI scientists.  We are developing a protein based vaccine which uses a small fragment the RBD of the SARS-CoV-2 Spike Protein that mimics the Covid-19 virus to generate a immune response https://t.co/5USCXpZLbd,29781852,1365638060571054083,b76db10a4d307c60,0,2,4,0,,,United States,"Jupiter, FL",During_Feb
207,Twitter for iPhone,2021-02-20T01:55:51.000Z,"Members of the Minnesota National Guard’s Medical Detachment responded quickly this evening, collecting a misdirected shipment of nearly 4,000 doses of COVID-19 vaccine at MSP, immediately transporting them to the four corners of the state to supply shot clinics for this weekend. https://t.co/xNocLKcUij",88989964,1362944022252290056,0fc3a4da3bd4c002,100,19,477,21,,,United States,Minneapolis–Saint Paul International Airport (MSP),During_Feb
208,Twitter for iPhone,2021-02-20T17:55:07.000Z,"Michigan pot shops giving FREE joints to customers vaccinated for COVID-19: @freep 😳
https://t.co/8xwlp9odf1",264924050,1363185428879261697,67d92742f1ebf307,105,19,380,24,,,United States,"Michigan, USA",During_Feb
209,Twitter for iPhone,2021-02-23T13:02:37.000Z,"Great summary on how effective the Pfizer vaccine is turning out to be in the real world:
1. Highly effective after just one dose (2 weeks after)
2. Highly effective in preventing transmission (including asymptomatic)
3. Efficacy shown against B117 variant https://t.co/PEV1G1BYGa",18299237,1364198980754751488,67d92742f1ebf307,85,5,299,4,,,United States,"Michigan, USA",During_Feb
210,Twitter for iPhone,2021-02-12T12:20:12.000Z,"For those who dislike immigrants,

For those who despise Muslims,

For those who hate Jews,

For those who detest Israelis,

I’ve got some news for you.

Lifesaving Moderna &amp; Pfizer COVID vaccines wouldn’t be here without the key role, yes, of immigrants, Muslims, Jews, Israelis.",1507235112,1360202039956017158,96683cc9126741d1,167,0,676,21,,,United States,United States,During_Feb
211,Twitter for iPhone,2021-02-11T12:22:33.000Z,"Happily, I just got my 2nd COVID vaccine. 

Heartfelt thanks to:

-Uğur Şahin &amp; Özlem Türeci, the husband-wife team who immigrated to Germany from Turkey &amp; developed Pfizer-BioNtech COVID vaccine

-Albert Bourla, son of Greek Holocaust survivors, immigrant to US, &amp; CEO of Pfizer https://t.co/nnUHtnp7CY",1507235112,1359840245345312771,96683cc9126741d1,43,18,292,6,,,United States,United States,During_Feb
212,Twitter for iPhone,2021-02-27T01:27:50.000Z,Teamed up with @vivianmorenoSD and @NoraVargasSD to bring a pop-up COVID-19 vaccination center to South San Diego. Thank you @SDFD and @SUHSD for making this possible. 300+ vaccines given in the hardest hit zip code in the city. https://t.co/JXZgXZP2mp,27532984,1365473685822341123,07d9e3e7f3487002,4,3,40,3,,,United States,Montgomery High School,During_Feb
213,Twitter for iPhone,2021-02-22T11:11:00.000Z,"Dr. Kizzmekia Corbett @KizzyPhD  is a viral immunologist at the National Institutes of Health. she is currently the scientific lead of the Coronavirus Team, with research efforts aimed at propelling novel coronavirus vaccines, including a COVID-19 vaccine. #BlackHistoryMonth https://t.co/rzuhjd9YD9",18792179,1363808502796419074,94965b2c45386f87,1,0,4,0,,,United States,"New York, USA",During_Feb
214,Twitter for iPhone,2021-02-27T15:05:44.000Z,Vaccine FOMO is real and I have it,15074535,1365679516379709444,94965b2c45386f87,33,7,261,2,,,United States,"New York, USA",During_Feb
215,Twitter for iPhone,2021-02-19T00:25:51.000Z,I'll be joining @ErinBurnett on @OutFrontCNN momentarily to discuss how I’m holding @GovRonDeSantis accountable for using vaccines as a political tool.,37190669,1362558984901844996,4ec01c9dbc693497,139,81,1081,18,,,United States,"Florida, USA",During_Feb
